Id;JAVA_2;JAVA_1;C++_1;Compilation_1;Architecture_1;GenieLogiciel_1;GenieLogiciel_2;Marketing_1;Anglais_1;Anglais_2;Anglais_3;Graphes_1;TheorieDecision_1;TheorieDecision_2;IA_3;IA_2;IA_1;CalculDistribue_1;CalculDistribue_2;LV2Espagnol_3;LV2Espagnol_1;LV2Espagnol_2;ProgrammationLineaire_1;LV2Allemand_2;LV2Allemand_1;Communication_3;Communication_1;Communication_2
1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0
2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0
4;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1
5;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0
6;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0
7;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1
8;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
9;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0
10;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0
11;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1
12;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0
13;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0
14;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0
15;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
16;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1
17;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0
18;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1
19;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1
20;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0
21;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0
22;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
23;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0
24;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0
25;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0
26;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1
27;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1
28;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0
29;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1
30;0;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0
31;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0
32;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1
33;0;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0
34;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0
35;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1
36;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0
37;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0
38;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
39;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0
40;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0
41;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0
42;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
43;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1
44;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0
45;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1
46;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0
47;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0
48;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0
49;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0
50;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1
51;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0
52;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0
53;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1
54;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0
55;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0
56;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0
57;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0
58;0;1;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
59;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0
60;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
61;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1
62;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0
63;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0
64;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1
65;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0
66;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
67;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0
68;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0
69;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0
70;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1
71;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0
73;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0
74;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0
75;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0
76;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1
77;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1
78;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
79;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0
80;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0
81;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0
82;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0
83;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
84;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0
85;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0
86;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0
87;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0
88;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0
89;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0
90;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1
91;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0
92;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0
93;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0
